asof_mode,split,date,symbol,side,price_location,rows,share_within_side
strictly_previous_bbo,train,2025-12-10,btcusdt,sell,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-10,btcusdt,sell,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-10,btcusdt,sell,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-11,btcusdt,buy,above_ask,1409692,0.5847323311071319
strictly_previous_bbo,train,2025-12-11,btcusdt,buy,above_ask,1416827,0.5876918890690479
same_timestamp_allowed,train,2025-12-11,btcusdt,buy,at_ask,965699,0.4005665261758073
strictly_previous_bbo,train,2025-12-11,btcusdt,buy,at_ask,957679,0.3972398751800726
same_timestamp_allowed,train,2025-12-11,btcusdt,buy,inside_spread,6184,0.0025650884984567573
strictly_previous_bbo,train,2025-12-11,btcusdt,buy,inside_spread,6311,0.002617767385795698
same_timestamp_allowed,train,2025-12-11,btcusdt,buy,at_bid,2290,0.0009498791496549118
strictly_previous_bbo,train,2025-12-11,btcusdt,buy,at_bid,2316,0.0009606638037557972
same_timestamp_allowed,train,2025-12-11,btcusdt,buy,below_bid,26968,0.011186175068949197
strictly_previous_bbo,train,2025-12-11,btcusdt,buy,below_bid,27700,0.011489804561327973
same_timestamp_allowed,train,2025-12-11,btcusdt,buy,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-11,btcusdt,buy,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-11,btcusdt,buy,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-11,btcusdt,buy,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-11,btcusdt,sell,above_ask,23706,0.009900237545562976
strictly_previous_bbo,train,2025-12-11,btcusdt,sell,above_ask,24467,0.01021805078998099
same_timestamp_allowed,train,2025-12-11,btcusdt,sell,at_ask,1808,0.0007550674716265022
strictly_previous_bbo,train,2025-12-11,btcusdt,sell,at_ask,1847,0.0007713548783706579
